block_idx,tex_idx,w,h,h0, h1, h2, h3, h4, h5, h6, h7, h8, h9, h10, h11, h12, h13, h14, h15
0,0,128,128,6452328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,128,128,1869573222,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,128,128,28789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,128,128,1751607666,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,128,128,1952867692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,128,128,1853321060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,128,128,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,128,128,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,128,128,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,128,128,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,128,128,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,128,128,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,128,128,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,128,128,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,128,128,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,128,128,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,128,128,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,128,128,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
