# Nmap 7.95 scan initiated Mon Oct  6 19:59:35 2025 as: nmap -p- -n -Pn --min-rate 2000 -T4 -oN /workspace/nmap_full.txt 94.237.121.49
Nmap scan report for 94.237.121.49
Host is up (0.13s latency).
Not shown: 63128 closed tcp ports (reset), 1520 filtered tcp ports (no-response), 320 filtered tcp ports (port-unreach)
PORT      STATE SERVICE
43108/tcp open  unknown
43120/tcp open  unknown
43125/tcp open  unknown
43170/tcp open  unknown
43191/tcp open  noit-transport
43294/tcp open  unknown
43392/tcp open  unknown
43434/tcp open  unknown
43502/tcp open  unknown
43614/tcp open  unknown
43633/tcp open  unknown
43666/tcp open  unknown
43701/tcp open  unknown
43753/tcp open  unknown
43791/tcp open  unknown
43822/tcp open  unknown
43863/tcp open  unknown
43865/tcp open  unknown
43901/tcp open  unknown
44000/tcp open  unknown
44076/tcp open  unknown
44134/tcp open  unknown
44194/tcp open  unknown
44214/tcp open  unknown
44227/tcp open  unknown
44281/tcp open  unknown
44509/tcp open  unknown
44555/tcp open  unknown
44569/tcp open  unknown
44586/tcp open  unknown
44606/tcp open  unknown
44640/tcp open  unknown
44697/tcp open  unknown
44756/tcp open  unknown
44790/tcp open  unknown
44828/tcp open  unknown
44900/tcp open  m3da
44945/tcp open  unknown
45020/tcp open  unknown
45103/tcp open  unknown
45130/tcp open  unknown
45215/tcp open  unknown
45225/tcp open  unknown
45226/tcp open  unknown
45295/tcp open  unknown
45303/tcp open  unknown
45331/tcp open  unknown
45434/tcp open  unknown
45438/tcp open  unknown
45499/tcp open  unknown
45782/tcp open  unknown
45831/tcp open  unknown
45876/tcp open  unknown
45948/tcp open  unknown
45963/tcp open  unknown
45977/tcp open  unknown
46024/tcp open  unknown
46027/tcp open  unknown
46048/tcp open  unknown
46262/tcp open  unknown
46264/tcp open  unknown
46272/tcp open  unknown
46407/tcp open  unknown
46413/tcp open  unknown
46423/tcp open  unknown
46496/tcp open  unknown
46596/tcp open  unknown
46634/tcp open  unknown
46782/tcp open  unknown
46784/tcp open  unknown
46787/tcp open  unknown
46795/tcp open  unknown
46796/tcp open  unknown
46966/tcp open  unknown
46970/tcp open  unknown
47045/tcp open  unknown
47060/tcp open  unknown
47085/tcp open  unknown
47148/tcp open  unknown
47160/tcp open  unknown
47234/tcp open  unknown
47297/tcp open  unknown
47302/tcp open  unknown
47307/tcp open  unknown
47336/tcp open  unknown
47351/tcp open  unknown
47388/tcp open  unknown
47648/tcp open  unknown
47684/tcp open  unknown
47836/tcp open  unknown
47875/tcp open  unknown
47968/tcp open  unknown
47984/tcp open  unknown
48068/tcp open  unknown
48143/tcp open  unknown
48150/tcp open  unknown
48151/tcp open  unknown
48272/tcp open  unknown
48352/tcp open  unknown
48361/tcp open  unknown
48368/tcp open  unknown
48448/tcp open  unknown
48566/tcp open  unknown
48591/tcp open  unknown
48598/tcp open  unknown
48618/tcp open  unknown
48671/tcp open  unknown
48690/tcp open  unknown
48724/tcp open  unknown
48765/tcp open  unknown
48884/tcp open  unknown
48901/tcp open  unknown
48927/tcp open  unknown
48969/tcp open  unknown
49176/tcp open  unknown
49223/tcp open  unknown
49288/tcp open  unknown
49387/tcp open  unknown
49500/tcp open  unknown
49539/tcp open  unknown
49549/tcp open  unknown
49550/tcp open  unknown
49700/tcp open  unknown
49706/tcp open  unknown
49756/tcp open  unknown
49855/tcp open  unknown
49908/tcp open  unknown
49918/tcp open  unknown
50033/tcp open  unknown
50056/tcp open  unknown
50082/tcp open  unknown
50083/tcp open  unknown
50084/tcp open  unknown
50118/tcp open  unknown
50259/tcp open  unknown
50329/tcp open  unknown
50378/tcp open  unknown
50392/tcp open  unknown
50755/tcp open  unknown
50790/tcp open  unknown
50801/tcp open  unknown
50837/tcp open  unknown
50870/tcp open  unknown
50907/tcp open  unknown
50934/tcp open  unknown
51030/tcp open  unknown
51035/tcp open  unknown
51076/tcp open  unknown
51077/tcp open  unknown
51104/tcp open  unknown
51199/tcp open  unknown
51331/tcp open  unknown
51397/tcp open  unknown
51398/tcp open  unknown
51444/tcp open  unknown
51492/tcp open  unknown
51578/tcp open  unknown
51678/tcp open  unknown
51682/tcp open  unknown
51713/tcp open  unknown
51881/tcp open  unknown
51890/tcp open  unknown
51891/tcp open  unknown
52022/tcp open  unknown
52034/tcp open  unknown
52035/tcp open  unknown
52064/tcp open  unknown
52162/tcp open  unknown
52220/tcp open  unknown
52235/tcp open  unknown
52245/tcp open  unknown
52256/tcp open  unknown
52262/tcp open  unknown
52284/tcp open  unknown
52323/tcp open  unknown
52452/tcp open  unknown
52518/tcp open  unknown
52552/tcp open  unknown
52616/tcp open  unknown
52631/tcp open  unknown
52634/tcp open  unknown
52788/tcp open  unknown
52806/tcp open  unknown
52817/tcp open  unknown
52950/tcp open  unknown
52988/tcp open  unknown
53156/tcp open  unknown
53159/tcp open  unknown
53240/tcp open  unknown
53266/tcp open  unknown
53413/tcp open  unknown
53440/tcp open  unknown
53491/tcp open  unknown
53599/tcp open  unknown
53611/tcp open  unknown
53738/tcp open  unknown
53741/tcp open  unknown
53759/tcp open  unknown
53769/tcp open  unknown
