FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
82efd10d9c59db39,http://94.237.57.211:40271/stats/82efd10d9c59db39_index.html/stats.txt,,743,404,52,4,3,text/html,78.751474ms,,85ed42e7
93b82fa31cadd09e,http://94.237.57.211:40271/stats/93b82fa31cadd09e_index.html/stats.txt,,746,404,52,4,3,text/html,78.47801ms,,85ed42ea
5c1f65802e94e293,http://94.237.57.211:40271/stats/5c1f65802e94e293_index.html/stats.txt,,745,404,52,4,3,text/html,79.409419ms,,85ed42e9
179eb995b56f7314,http://94.237.57.211:40271/stats/179eb995b56f7314_index.html/stats.txt,,744,404,52,4,3,text/html,80.271203ms,,85ed42e8
3a547668e859fb7b,http://94.237.57.211:40271/stats/3a547668e859fb7b_index.html/stats.txt,,749,404,52,4,3,text/html,79.049481ms,,85ed42ed
9ca2ab38fb877212,http://94.237.57.211:40271/stats/9ca2ab38fb877212_index.html/stats.txt,,747,404,52,4,3,text/html,80.322893ms,,85ed42eb
112a1e2dd7efcb73,http://94.237.57.211:40271/stats/112a1e2dd7efcb73_index.html/stats.txt,,750,404,52,4,3,text/html,81.25375ms,,85ed42ee
252ba8da9a1beef6,http://94.237.57.211:40271/stats/252ba8da9a1beef6_index.html/stats.txt,,748,404,52,4,3,text/html,82.446863ms,,85ed42ec
9176ab8cfd1d9f22,http://94.237.57.211:40271/stats/9176ab8cfd1d9f22_index.html/stats.txt,,751,404,52,4,3,text/html,81.519296ms,,85ed42ef
46d121d8e649bf21,http://94.237.57.211:40271/stats/46d121d8e649bf21_index.html/stats.txt,,725,404,52,4,3,text/html,80.283959ms,,85ed42d5
4847fce362ebd99c,http://94.237.57.211:40271/stats/4847fce362ebd99c_index.html/stats.txt,,752,404,52,4,3,text/html,80.463031ms,,85ed42f0
29c1e700b0b27341,http://94.237.57.211:40271/stats/29c1e700b0b27341_index.html/stats.txt,,754,404,52,4,3,text/html,75.792221ms,,85ed42f2
6fb8dbab24242fd8,http://94.237.57.211:40271/stats/6fb8dbab24242fd8_index.html/stats.txt,,759,404,52,4,3,text/html,75.07366ms,,85ed42f7
b34567153041b16f,http://94.237.57.211:40271/stats/b34567153041b16f_index.html/stats.txt,,756,404,52,4,3,text/html,76.147314ms,,85ed42f4
3f500427a9ffa2ba,http://94.237.57.211:40271/stats/3f500427a9ffa2ba_index.html/stats.txt,,753,404,52,4,3,text/html,80.911437ms,,85ed42f1
91b5963ab438f4dd,http://94.237.57.211:40271/stats/91b5963ab438f4dd_index.html/stats.txt,,757,404,52,4,3,text/html,77.940575ms,,85ed42f5
281ecd263c6c4884,http://94.237.57.211:40271/stats/281ecd263c6c4884_index.html/stats.txt,,755,404,52,4,3,text/html,80.4872ms,,85ed42f3
6997ed99d89f0869,http://94.237.57.211:40271/stats/6997ed99d89f0869_index.html/stats.txt,,760,404,52,4,3,text/html,80.571861ms,,85ed42f8
f9dbdda98d50eab5,http://94.237.57.211:40271/stats/f9dbdda98d50eab5_index.html/stats.txt,,758,404,52,4,3,text/html,82.85587ms,,85ed42f6
549ea309d697e6d0,http://94.237.57.211:40271/stats/549ea309d697e6d0_index.html/stats.txt,,761,404,52,4,3,text/html,81.18365ms,,85ed42f9
1c902e40b45e181d,http://94.237.57.211:40271/stats/1c902e40b45e181d_index.html/stats.txt,,763,404,52,4,3,text/html,80.049246ms,,85ed42fb
72c479ff1464b483,http://94.237.57.211:40271/stats/72c479ff1464b483_index.html/stats.txt,,762,404,52,4,3,text/html,82.95208ms,,85ed42fa
5bac93006ac9f9c6,http://94.237.57.211:40271/stats/5bac93006ac9f9c6_index.html/stats.txt,,768,404,52,4,3,text/html,79.032456ms,,85ed4300
f506b6cda5be36f9,http://94.237.57.211:40271/stats/f506b6cda5be36f9_index.html/stats.txt,,764,404,52,4,3,text/html,81.828473ms,,85ed42fc
3fb8d37262801ce2,http://94.237.57.211:40271/stats/3fb8d37262801ce2_index.html/stats.txt,,777,404,52,4,3,text/html,75.307257ms,,85ed4309
25733cd9d155f6c6,http://94.237.57.211:40271/stats/25733cd9d155f6c6_index.html/stats.txt,,767,404,52,4,3,text/html,79.871643ms,,85ed42ff
a2fcf912e5fbf492,http://94.237.57.211:40271/stats/a2fcf912e5fbf492_index.html/stats.txt,,769,404,52,4,3,text/html,80.344224ms,,85ed4301
2e3f2174652bc7c2,http://94.237.57.211:40271/stats/2e3f2174652bc7c2_index.html/stats.txt,,779,404,52,4,3,text/html,75.721033ms,,85ed430b
5cd9023270e902e2,http://94.237.57.211:40271/stats/5cd9023270e902e2_index.html/stats.txt,,765,404,52,4,3,text/html,82.491127ms,,85ed42fd
5d4aca5e830802b9,http://94.237.57.211:40271/stats/5d4aca5e830802b9_index.html/stats.txt,,776,404,52,4,3,text/html,77.906146ms,,85ed4308
0d37407701393ea3,http://94.237.57.211:40271/stats/0d37407701393ea3_index.html/stats.txt,,772,404,52,4,3,text/html,79.488803ms,,85ed4304
ad7ce1c1e09545fc,http://94.237.57.211:40271/stats/ad7ce1c1e09545fc_index.html/stats.txt,,766,404,52,4,3,text/html,82.558155ms,,85ed42fe
77d553576b985390,http://94.237.57.211:40271/stats/77d553576b985390_index.html/stats.txt,,770,404,52,4,3,text/html,80.946755ms,,85ed4302
3537b61a32aaacaa,http://94.237.57.211:40271/stats/3537b61a32aaacaa_index.html/stats.txt,,773,404,52,4,3,text/html,80.671385ms,,85ed4305
0c906adde560a440,http://94.237.57.211:40271/stats/0c906adde560a440_index.html/stats.txt,,771,404,52,4,3,text/html,81.951106ms,,85ed4303
